Unterkunft Name,Preis pro Nacht,Zeitraum
Möbliertes Studio mit Garten W5,77 CHF,26.06.2025 - 29.06.2025
Schönes Zimmer in der Nähe von HSG,71 CHF,26.06.2025 - 29.06.2025
Zimmer sehr zentral in Jugendstilwohnung,79 CHF,26.06.2025 - 29.06.2025
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,88 CHF,26.06.2025 - 29.06.2025
Zimmer mit separater Dusche,40 CHF,26.06.2025 - 29.06.2025
"gemütliches Studio im EG, im Appenzellerland",71 CHF,26.06.2025 - 29.06.2025
Eigene Studiowohnung mit Küche,88 CHF,26.06.2025 - 29.06.2025
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",55 CHF,26.06.2025 - 29.06.2025
Bijoux Ferienwohnung auf Bauernhof im Wald,100 CHF,26.06.2025 - 29.06.2025
Schöne,81 CHF,26.06.2025 - 29.06.2025
"Schönes Einzelzimmer, zentral",35 CHF,26.06.2025 - 29.06.2025
winzige Wohnung,129 CHF,26.06.2025 - 29.06.2025
Schöne 2 1/2 Zimmer Dachwohnung,139 CHF,26.06.2025 - 29.06.2025
heimelige Wohnung in Goldach,95 CHF,26.06.2025 - 29.06.2025
In der Natur auftanken,45 CHF,26.06.2025 - 29.06.2025
Gemütliches Doppelzimmer - zentral,38 CHF,26.06.2025 - 29.06.2025
Nah an der Natur und ÖV vor der Tür (mit Ticket),75 CHF,26.06.2025 - 29.06.2025
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF,26.06.2025 - 29.06.2025
"Herisau, Zuhause mittendrin und trotzdem ruhig",58 CHF,26.06.2025 - 29.06.2025
Gemütliche Wohnung über einer Bäckerei,77 CHF,26.06.2025 - 29.06.2025
Ferienapartment Rietbach,106 CHF,26.06.2025 - 29.06.2025
Gartenstudio in Appenzellerhaus,80 CHF,26.06.2025 - 29.06.2025
Ferienwohnung gegenüber Bahnhof separater Eingang,92 CHF,26.06.2025 - 29.06.2025
Haus zur Quelle,91 CHF,26.06.2025 - 29.06.2025
"Zwei helle Zimmer, Küche und Bad",104 CHF,26.06.2025 - 29.06.2025
Appartement im Grünen,111 CHF,26.06.2025 - 29.06.2025
"Sönd willkomm z 'Herisau! Zentral, neu, stillvoll",110 CHF,26.06.2025 - 29.06.2025
Charmante Wohnung im Zentrum von Goldach,103 CHF,26.06.2025 - 29.06.2025
Laddaswisshouse,140 CHF,26.06.2025 - 29.06.2025
Gemütliche Wohnung in St. Gallen,133 CHF,26.06.2025 - 29.06.2025
Möbliertes Studio mit Garten W5,61 CHF,09.10.2025 - 19.10.2025
Schönes Zimmer in der Nähe von HSG,64 CHF,09.10.2025 - 19.10.2025
Gemütliche Wohnung im Zentrum von St. Gallen,78 CHF,09.10.2025 - 19.10.2025
Zur Geduld (direkt am Bahnhof),74 CHF,09.10.2025 - 19.10.2025
Gemütliche Wohnung,70 CHF,09.10.2025 - 19.10.2025
Poliba St.Gallen-3 1/2 zimmer wohnung,47 CHF,09.10.2025 - 19.10.2025
Charmante Altbauwohnung ruhig und doch zentral,92 CHF,09.10.2025 - 19.10.2025
Das Haus mit dem Schwein,54 CHF,09.10.2025 - 19.10.2025
Charmante Ferienwohnung 2 Zimmer W43,78 CHF,09.10.2025 - 19.10.2025
Studio mit Panoramaaussicht,58 CHF,09.10.2025 - 19.10.2025
Studio mit Charme und Aussicht,58 CHF,09.10.2025 - 19.10.2025
Eigene Studiowohnung mit Küche,72 CHF,09.10.2025 - 19.10.2025
"Schönes Einzelzimmer, zentral",34 CHF,09.10.2025 - 19.10.2025
Gemütliche Altbauwohnung im Zentrum,95 CHF,09.10.2025 - 19.10.2025
"Zentrale, gemütliche Unterkunft in der Nähe von HSG/FH/Olma-Area/Krankenhaus",84 CHF,09.10.2025 - 19.10.2025
Säntis Park/Freies Parken/Netflix,74 CHF,09.10.2025 - 19.10.2025
Zeit,64 CHF,09.10.2025 - 19.10.2025
Schöne,73 CHF,09.10.2025 - 19.10.2025
"gemütliches Studio im EG, im Appenzellerland",60 CHF,09.10.2025 - 19.10.2025
gemütliches Zimmer mit Privatsphäre,43 CHF,09.10.2025 - 19.10.2025
heimelige Wohnung in Goldach,67 CHF,09.10.2025 - 19.10.2025
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",53 CHF,09.10.2025 - 19.10.2025
"Leben wie die Locals"" mitten im Zentrum""",86 CHF,09.10.2025 - 19.10.2025
Helle Wohnung über St.Gallen,100 CHF,09.10.2025 - 19.10.2025
Schöne 2 1/2 Zimmer Dachwohnung,98 CHF,09.10.2025 - 19.10.2025
Einzigartige schöne Altbau- Wohnung im Zentrum,115 CHF,09.10.2025 - 19.10.2025
Im Grünen nahe des Zentrum (Familienzimmer 2+2),55 CHF,09.10.2025 - 19.10.2025
Ganze Wohnung mitten in der Altstadt von Arbon,61 CHF,09.10.2025 - 19.10.2025
2. Charmante Wohnung in Seenähe,66 CHF,09.10.2025 - 19.10.2025
Bijoux Ferienwohnung auf Bauernhof im Wald,85 CHF,09.10.2025 - 19.10.2025